Prscrbr_NPI,Prscrbr_Last_Org_Name,Prscrbr_First_Name,Prscrbr_City,Prscrbr_State_Abrvtn,Prscrbr_State_FIPS,Prscrbr_Type,Prscrbr_Type_Src,Brnd_Name,Gnrc_Name,Tot_Clms,Tot_30day_Fills,Tot_Day_Suply,Tot_Drug_Cst,Tot_Benes,GE65_Sprsn_Flag,GE65_Tot_Clms,GE65_Tot_30day_Fills,GE65_Tot_Drug_Cst,GE65_Tot_Day_Suply,GE65_Bene_Sprsn_Flag,GE65_Tot_Benes
1003012931,Lopez,Niceto,Walnut Creek,CA,06,Internal Medicine,Claim-Specialty,Entresto,Sacubitril/Valsartan,39,39,751,16514.42,,,39,39,16514.42,751,*,
1003043712,Gorokhov,Igor,Beverly Hills,CA,06,Internal Medicine,Claim-Specialty,Entresto,Sacubitril/Valsartan,12,12.6,377,6532.24,,,12,12.6,6532.24,377,*,
1003053851,Jeng,Aaron,San Gabriel,CA,06,Internal Medicine,Claim-Specialty,Entresto,Sacubitril/Valsartan,33,37,966,21045.98,,#,,,,,*,
1003083031,Canet,Frances,Auburn,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,60,126,3780,79713.11,19,,60,126,79713.11,3780,,19
1003131533,Kapasi,Neel,Victorville,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,45,65,1950,39630.53,13,#,,,,,#,
1003195686,Arbit,Boris,Burbank,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,96,173.2,5146,108628.49,21,#,,,,,#,
1003211566,Gross,Bukola,Victorville,CA,06,Nurse Practitioner,NPPES-Specialty,Entresto,Sacubitril/Valsartan,17,19,570,11121.05,,,17,19,11121.05,570,*,
1003243262,Nishimura,Marin,El Cajon,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,77,165.5,4917,97344.07,35,#,,,,,#,
1003255910,Patel,Miteshkumar,San Francisco,CA,06,Family Practice,Claim-Specialty,Entresto,Sacubitril/Valsartan,56,56,714,16028.17,,,32,32,8521.94,377,*,
1003256546,Sangera,Rajveer,Santa Rosa,CA,06,Interventional Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,24,47,1410,27005.92,,,24,47,27005.92,1410,*,
1003811746,Tseng,Hennessey,Walnut Creek,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,41,83,2460,53578.37,16,#,,,,,#,
1003830191,Lam,Richard,Sun City,CA,06,Internal Medicine,Claim-Specialty,Entresto,Sacubitril/Valsartan,11,11,330,7389.18,,,11,11,7389.18,330,*,
1003836651,Wohlgelernter,Daniel,Santa Monica,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,35,56,1680,37772.92,,,35,56,37772.92,1680,*,
1003859661,Doan,Alexander,San Jose,CA,06,Nephrology,Claim-Specialty,Entresto,Sacubitril/Valsartan,33,66,1980,41438.17,,,33,66,41438.17,1980,*,
1003862376,Brown,Paul,Torrance,CA,06,Internal Medicine,Claim-Specialty,Entresto,Sacubitril/Valsartan,26,28,840,17345.82,,,26,28,17345.82,840,*,
1003876418,Feldman,Leon,Rancho Mirage,CA,06,Clinical Cardiac Electrophysiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,52,120.8,3600,78069.68,16,,52,120.8,78069.68,3600,,16
1003881889,Chung,Philip,Torrance,CA,06,Nephrology,Claim-Specialty,Entresto,Sacubitril/Valsartan,28,42,1260,26293.7,,,28,42,26293.7,1260,*,
1003893801,Nguyen,Theresa Thanh,Westminster,CA,06,Internal Medicine,Claim-Specialty,Entresto,Sacubitril/Valsartan,19,57,1710,35827.64,,,19,57,35827.64,1710,*,
1003908591,Nelson,John,Fresno,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,54,104,3107,60919.75,11,,54,104,60919.75,3107,,11
1003910456,Scott,Emily,San Diego,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,32,66,1980,42548.26,,#,,,,,*,
1003914227,Milstein,Anna,Los Angeles,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,795,847,25248,558465.42,113,#,,,,,#,
1003938192,Huynh,Hieu,Sacramento,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,53,107,3210,78505.12,13,,40,72,47197.4,2160,*,
1003942491,Lome,Steven,Monterey,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,14,30,900,20202.49,,*,,,,,*,
1003980756,Sood,Archna,Victorville,CA,06,Internal Medicine,Claim-Specialty,Entresto,Sacubitril/Valsartan,19,19.2,546,7664.64,,,19,19.2,7664.64,546,*,
1003980822,Wen,Kenneth,Costa Mesa,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,84,161,4830,105024.97,20,,71,138,89616.77,4140,#,
1003991159,Kim,John,Cerritos,CA,06,Family Practice,Claim-Specialty,Entresto,Sacubitril/Valsartan,42,48,1214,26808.34,,,42,48,26808.34,1214,*,
1013021708,Halliday,William,Montebello,CA,06,Internal Medicine,NPPES-Taxonomy,Entresto,Sacubitril/Valsartan,80,88,2615,58545.76,20,#,,,,,#,
1013022615,Hassankhani,Alborz,La Mesa,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,173,227,6770,147640.49,40,,148,198,128981.36,5920,#,
1013029065,Wong,Jennifer,Fountain Valley,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,290,432,12905,268177.77,63,,258,370,228863.21,11045,#,
1013083179,Jafarzadeh,Mehrdad,Carmichael,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,59,103,3071,63776.86,16,,45,85,53635.17,2531,#,
1013085810,Dennish,Andrew,Templeton,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,17,44,1320,26315.27,,#,,,,,*,
1013114420,Tsai,Wilbert,Pomona,CA,06,Family Practice,Claim-Specialty,Entresto,Sacubitril/Valsartan,18,18,540,11875.16,,#,,,,,*,
1013150499,Zimmer,Raymond,Beverly Hills,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,63,141,4230,93722.19,18,#,,,,,#,
1013152768,Cadeiras,Martin,Los Angeles,CA,06,Advanced Heart Failure and Transplant Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,232,365,10941,234707.4,48,,171,278,175939.25,8340,,36
1013154400,Zadeh,Alidad,El Centro,CA,06,Internal Medicine,Claim-Specialty,Entresto,Sacubitril/Valsartan,47,71,2130,45057.81,15,,33,53,33758.11,1590,#,
1013162452,Hong,Eric,La Jolla,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,25,51,1530,20717.17,,,25,51,20717.17,1530,*,
1013163229,Sarsam,Sinan,Temecula,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,91,179.1,5373,115666.24,33,,78,166.1,107411.58,4983,#,
1013176841,Morrissey,Ryan,Los Angeles,CA,06,Internal Medicine,Claim-Specialty,Entresto,Sacubitril/Valsartan,55,142,4200,61779.79,15,,41,105,42508.03,3120,#,
1013176999,Patel,Neel,San Diego,CA,06,Cardiology,Claim-Specialty,Entresto,Sacubitril/Valsartan,54,141.3,4240,60877.39,27,#,,,,,#,
1013181163,Bosveld,Suzette,Phillips Ranch,CA,06,Nurse Practitioner,Claim-Specialty,Entresto,Sacubitril/Valsartan,16,16,480,10610.07,,#,,,,,*,
